# File: Mapping_gcamdata_FAO_items.csv
# Title: Mapping of FAO items from different FAOSTAT dataset source
# Units: NA
# Description: This mapping is constructed to generate balanced data based best sources
# The corresponding CPC and FBS item and code are included when available
# Items are separated into different tiers based on data source
# Item_code should be unique. For non-FAO items including some cakes and meat Eq their code were created by adding 0000 to the corresponding oil or animal items
# Tier1 includes 209 items with best sources e.g. bilateral trade (TM)  prodstat (QCL) and supply-utilization-account (SCL)
#  Note that item_code (982 953 311) are moved to Tier3 from Tier1 since TM data not available after 2010.
#  Note that item 237 Oil soybean was moved from Tier1 to Tier2 to use SCL for production due to Brazil data issue in QCL
#  SCL has balanced data processed by FAO but the quality was poor with low consistency
# Tier2 includes 204 items that had no data or low quality data in QCL so used production from SCL
# Tier3 includes 21 items that had QCL but no bilateral trade data so use gross trade from SCL
# Tier4 includes 40 items included in SCL but not in Tier1-3
# Tier5 includes 12 fish items from FBS and FBSH. Item code came from FBS as well
# Tier6 includes 29 items that included in QCL for production but not in Tier1 to Tier5. 
#  Note that item_code (30 paddy rice milled equivalent) is not included as it is not used and discontinued by FAOSTAT.  Flax, processed but not spun (773) is changed to Flax, raw or retted (771).
# Tier7 include 4 cake or fiber items that coproduced in oil crop crushing. Item code used 0
#  Note the FAOSTAT does not provide data for Tier8 item so they are generated based extraction rate and assumed no trade and single use.
# Tier8 includes 16 meat equivalent items converted from live animals. Item code used 0
#  Note that these items were preprocessed based on mainly carcass yield implied by data for adjusting production and stocks
#  Note that for meat equivalent items only stock variation was accounted since 2010 when the data first available
# Last update: 06-09-2024 (XZ)
# Column types: icicccciccic
# ----------
item_code,item,tier,DS_trade,DS_production,DS_demand,DS_key_coproduct_item,DS_key_coproduct_item_code,CPC_code,CPC_item,FBS_item_code,FBS_item
372,Lettuce and chicory,1,TM,QCL,SCL,,,CPC01214,lettuce and chicory,2605,"Vegetables, Other and products"
373,Spinach,1,TM,QCL,SCL,,,CPC01215,spinach,2605,"Vegetables, Other and products"
388,Tomatoes,1,TM,QCL,SCL,,,CPC01234,tomatoes,2601,Tomatoes and products
393,Cauliflowers and broccoli,1,TM,QCL,SCL,,,CPC01213,cauliflowers and broccoli,2605,"Vegetables, Other and products"
394,"Pumpkins, squash and gourds",1,TM,QCL,SCL,,,CPC01235,"pumpkins, squash and gourds",2605,"Vegetables, Other and products"
397,Cucumbers and gherkins,1,TM,QCL,SCL,,,CPC01232,cucumbers and gherkins,2605,"Vegetables, Other and products"
399,Eggplants (aubergines),1,TM,QCL,SCL,,,CPC01233,eggplants (aubergines),2605,"Vegetables, Other and products"
401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1,TM,QCL,SCL,,,CPC01231,"chillies and peppers, green (capsicum spp. and pimenta spp.)",2605,"Vegetables, Other and products"
402,"Onions and shallots, green",1,TM,QCL,SCL,,,CPC01253.01,"onions and shallots, green",2605,"Vegetables, Other and products"
403,"Onions and shallots, dry (excluding dehydrated)",1,TM,QCL,SCL,,,CPC01253.02,"onions and shallots, dry (excluding dehydrated)",2602,Onions and products
406,Green garlic,1,TM,QCL,SCL,,,CPC01252,green garlic,2605,"Vegetables, Other and products"
407,Leeks and other alliaceous vegetables,1,TM,QCL,SCL,,,CPC01254,leeks and other alliaceous vegetables,2605,"Vegetables, Other and products"
414,"Other beans, green",1,TM,QCL,SCL,,,CPC01241.90,"other beans, green",2605,"Vegetables, Other and products"
417,"Peas, green",1,TM,QCL,SCL,,,CPC01242,"peas, green",2605,"Vegetables, Other and products"
420,"Broad beans and horse beans, green",1,TM,QCL,SCL,,,CPC01243,"broad beans and horse beans, green",2605,"Vegetables, Other and products"
426,Carrots and turnips,1,TM,QCL,SCL,,,CPC01251,carrots and turnips,2605,"Vegetables, Other and products"
446,Green corn (maize),1,TM,QCL,SCL,,,CPC01290.01,green corn (maize),2605,"Vegetables, Other and products"
449,Mushrooms and truffles,1,TM,QCL,SCL,,,CPC01270,mushrooms and truffles,2605,"Vegetables, Other and products"
461,Locust beans (carobs),1,TM,QCL,SCL,,,CPC01356,locust beans (carobs),2605,"Vegetables, Other and products"
463,"Other vegetables, fresh n.e.c.",1,TM,QCL,SCL,,,CPC01290.90,"other vegetables, fresh n.e.c.",2605,"Vegetables, Other and products"
486,Bananas,1,TM,QCL,SCL,,,CPC01312,bananas,2615,Bas and products
489,Plantains and cooking bananas,1,TM,QCL,SCL,,,CPC01313,plantains and others,2616,Plantains and products
490,Oranges,1,TM,QCL,SCL,,,CPC01323,oranges,2611,"Oranges, Mandarines and products"
495,"Tangerines, mandarins, clementines",1,TM,QCL,SCL,,,CPC01324,"tangerines, mandarins, clementines",2611,"Oranges, Mandarines and products"
497,Lemons and limes,1,TM,QCL,SCL,,,CPC01322,lemons and limes,2612,"Lemons, Limes and products"
507,Pomelos and grapefruits,1,TM,QCL,SCL,,,CPC01321,pomelos and grapefruits,2613,Grapefruit and products
512,"Other citrus fruit, n.e.c.",1,TM,QCL,SCL,,,CPC01329,"other citrus fruit, n.e.c.",2614,"Citrus, Other and products"
515,Apples,1,TM,QCL,SCL,,,CPC01341,apples,2617,Apples and products
521,Pears,1,TM,QCL,SCL,,,CPC01342.01,pears,2625,"Fruits, Other and products"
523,Quinces,1,TM,QCL,SCL,,,CPC01342.02,quinces,2625,"Fruits, Other and products"
526,Apricots,1,TM,QCL,SCL,,,CPC01343,apricots,2625,"Fruits, Other and products"
530,Sour cherries,1,TM,QCL,SCL,,,CPC01344.01,sour cherries,2625,"Fruits, Other and products"
531,Cherries,1,TM,QCL,SCL,,,CPC01344.02,cherries,2625,"Fruits, Other and products"
534,Peaches and nectarines,1,TM,QCL,SCL,,,CPC01345,peaches and nectarines,2625,"Fruits, Other and products"
536,Plums and sloes,1,TM,QCL,SCL,,,CPC01346,plums and sloes,2625,"Fruits, Other and products"
541,Other stone fruits,1,TM,QCL,SCL,,,CPC01349.20,other stone fruits,2625,"Fruits, Other and products"
544,Strawberries,1,TM,QCL,SCL,,,CPC01354,strawberries,2625,"Fruits, Other and products"
547,Raspberries,1,TM,QCL,SCL,,,CPC01353.01,raspberries,2625,"Fruits, Other and products"
550,Currants,1,TM,QCL,SCL,,,CPC01351.01,currants,2625,"Fruits, Other and products"
552,Blueberries,1,TM,QCL,SCL,,,CPC01355.01,blueberries,2625,"Fruits, Other and products"
554,Cranberries,1,TM,QCL,SCL,,,CPC01355.02,cranberries,2625,"Fruits, Other and products"
558,Other berries and fruits of the genus vaccinium n.e.c.,1,TM,QCL,SCL,,,CPC01355.90,other berries and fruits of the genus vaccinium,2625,"Fruits, Other and products"
560,Grapes,1,TM,QCL,SCL,,,CPC01330,grapes,2620,Grapes and products (excludingexcl wine) and products
564,Wine,1,TM,QCL,SCL,,,CPC24212.02,wine,2655,Wine and products
567,Watermelons,1,TM,QCL,SCL,,,CPC01221,watermelons,2605,"Vegetables, Other and products"
568,Cantaloupes and other melons,1,TM,QCL,SCL,,,CPC01229,cantaloupes and other melons,2605,"Vegetables, Other and products"
569,Figs,1,TM,QCL,SCL,,,CPC01315,figs,2625,"Fruits, Other and products"
571,"Mangoes, guavas and mangosteens",1,TM,QCL,SCL,,,CPC01316,"mangoes, guavas, mangosteens",2625,"Fruits, Other and products"
572,Avocados,1,TM,QCL,SCL,,,CPC01311,avocados,2625,"Fruits, Other and products"
574,Pineapples,1,TM,QCL,SCL,,,CPC01318,pineapples,2618,Pineapples and products
577,Dates,1,TM,QCL,SCL,,,CPC01314,dates,2619,Dates and products
587,Persimmons,1,TM,QCL,SCL,,,CPC01359.01,persimmons,2625,"Fruits, Other and products"
592,Kiwi fruit,1,TM,QCL,SCL,,,CPC01352,kiwi fruit,2625,"Fruits, Other and products"
600,Papayas,1,TM,QCL,SCL,,,CPC01317,papayas,2625,"Fruits, Other and products"
603,"Other tropical fruits, n.e.c.",1,TM,QCL,SCL,,,CPC01319,"other tropical fruits, n.e.c.",2625,"Fruits, Other and products"
619,"Other fruits, n.e.c.",1,TM,QCL,SCL,,,CPC01359.90,other fruits n.e.c.,2625,"Fruits, Other and products"
656,"Coffee, green",1,TM,QCL,SCL,,,CPC01610,"coffee, green",2630,Coffee and products
661,Cocoa beans,1,TM,QCL,SCL,,,CPC01640,cocoa beans,2633,Cocoa Beans and products
667,Tea leaves,1,TM,QCL,SCL,,,CPC01620,tea leaves,2635,Tea (including mate) and products
671,Mate leaves,1,TM,QCL,SCL,,,CPC01630,mat<e9> leaves,2635,Tea (including mate) and products
687,"Pepper (Piper spp.), raw",1,TM,QCL,SCL,,,CPC01651,"pepper (piper spp.), raw",2640,Pepper and products
689,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1,TM,QCL,SCL,,,CPC01652,"chillies and peppers, dry (capsicum spp. and pimenta spp.), raw",2641,Pimento and products
692,"Vanilla, raw",1,TM,QCL,SCL,,,CPC01658,"vanilla, raw",2645,"Spices, Other and products"
693,"Cinnamon and cinnamon-tree flowers, raw",1,TM,QCL,SCL,,,CPC01655,"cinnamon and cinnamon-tree flowers, raw",2645,"Spices, Other and products"
698,"Cloves (whole stems), raw",1,TM,QCL,SCL,,,CPC01656,"cloves (whole stems), raw",2642,Cloves and products
702,"Nutmeg, mace, cardamoms, raw",1,TM,QCL,SCL,,,CPC01653,"nutmeg, mace, cardamoms, raw",2645,"Spices, Other and products"
711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1,TM,QCL,SCL,,,CPC01654,"anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2645,"Spices, Other and products"
720,"Ginger, raw",1,TM,QCL,SCL,,,CPC01657,"ginger, raw",2645,"Spices, Other and products"
723,"Other stimulant, spice and aromatic crops, n.e.c.",1,TM,QCL,SCL,,,CPC01699,"other stimulant, spice and aromatic crops, n.e.c.",2645,"Spices, Other and products"
867,"Meat of cattle with the bone, fresh or chilled",1,TM,QCL,SCL,,,CPC21111.01,"meat of cattle with the bone, fresh or chilled",2731,Bovine Meat and products
868,"Edible offal of cattle, fresh, chilled or frozen",1,TM,QCL,SCL,,,CPC21151,"edible offal of cattle, fresh, chilled or frozen",2736,"Offals, Edible and products"
869,"Cattle fat, unrendered",1,TM,QCL,SCL,,,CPC21512,"cattle fat, unrendered",2737,"Fats, Animals, Raw and products"
882,Raw milk of cattle,1,TM,QCL,SCL,,,CPC02211,raw milk of cattle,2848,Milk - (Excluding excluding Butter butter) and products
885,"Cream, fresh",1,TM,QCL,SCL,,,CPC22120,"cream, fresh [only calories]",2743,Cream and products
886,Butter of cow milk,1,TM,QCL,SCL,,,CPC22241.01,butter of cow milk [only calories],2740,"Butter, Ghee and products"
888,Skim milk of cows,1,TM,QCL,SCL,,,CPC22110.02,skim milk of cows,2848,Milk - (Excluding excluding Butter butter) and products
889,"Whole milk, condensed",1,TM,QCL,SCL,,,CPC22222.01,"whole milk, condensed",2848,Milk - (Excluding excluding Butter butter) and products
890,"Whey, condensed",1,TM,QCL,SCL,,,CPC22130.03,"whey, condensed",2848,Milk - (Excluding excluding Butter butter) and products
894,"Whole milk, evaporated",1,TM,QCL,SCL,,,CPC22221.01,"whole milk, evaporated",2848,Milk - (Excluding excluding Butter butter) and products
895,"Skim milk, evaporated",1,TM,QCL,SCL,,,CPC22221.02,"skim milk, evaporated",2848,Milk - (Excluding excluding Butter butter) and products
896,"Skim milk, condensed",1,TM,QCL,SCL,,,CPC22222.02,"skim milk, condensed",2848,Milk - (Excluding excluding Butter butter) and products
897,Whole milk powder,1,TM,QCL,SCL,,,CPC22211,whole milk powder,2848,Milk - (Excluding excluding Butter butter) and products
898,Skim milk and whey powder,1,TM,QCL,SCL,,,CPC22212,skim milk and whey powder,2848,Milk - (Excluding excluding Butter butter) and products
899,"Buttermilk, dry",1,TM,QCL,SCL,,,CPC22230.04,"buttermilk, dry",2848,Milk - (Excluding excluding Butter butter) and products
900,"Whey, dry",1,TM,QCL,SCL,,,CPC22130.02,"whey, dry",2848,Milk - (Excluding excluding Butter butter) and products
901,Cheese from whole cow milk,1,TM,QCL,SCL,,,CPC22251.01,cheese from whole cow milk,2848,Milk - (Excluding excluding Butter butter) and products
904,Cheese from skimmed cow milk,1,TM,QCL,SCL,,,CPC22251.02,cheese from skimmed cow milk,2848,Milk - (Excluding excluding Butter butter) and products
977,"Meat of sheep, fresh or chilled",1,TM,QCL,SCL,,,CPC21115,"meat of sheep, fresh or chilled",2732,Mutton & and Goat Meat and products
978,"Edible offal of sheep, fresh, chilled or frozen",1,TM,QCL,SCL,,,CPC21155,"edible offal of sheep, fresh, chilled or frozen",2736,"Offals, Edible and products"
979,"Sheep fat, unrendered",1,TM,QCL,SCL,,,CPC21514,"sheep fat, unrendered",2737,"Fats, Animals, Raw and products"
1017,"Meat of goat, fresh or chilled",1,TM,QCL,SCL,,,CPC21116,"meat of goat, fresh or chilled",2732,Mutton & and Goat Meat and products
1018,"Edible offal of goat, fresh, chilled or frozen",1,TM,QCL,SCL,,,CPC21156,"edible offal of goat, fresh, chilled or frozen",2736,"Offals, Edible and products"
1022,Butter of goat milk,1,TM,QCL,SCL,,,CPC22249.02,butter of goat milk [only calories],2740,"Butter, Ghee and products"
1035,"Meat of pig with the bone, fresh or chilled",1,TM,QCL,SCL,,,CPC21113.01,"meat of pig with the bone, fresh or chilled",2733,Pigmeat and products
1036,"Edible offal of pigs, fresh, chilled or frozen",1,TM,QCL,SCL,,,CPC21153,"edible offal of pigs, fresh, chilled or frozen",2736,"Offals, Edible and products"
1037,Fat of pigs,1,TM,QCL,SCL,,,CPC21511.01,fat of pigs,2737,"Fats, Animals, Raw and products"
1043,"Pig fat, rendered",1,TM,QCL,SCL,,,CPC21521,"pig fat, rendered",2737,"Fats, Animals, Raw and products"
1058,"Meat of chickens, fresh or chilled",1,TM,QCL,SCL,,,CPC21121,"meat of chickens, fresh or chilled",2734,Poultry Meat and products
1062,"Hen eggs in shell, fresh",1,TM,QCL,SCL,,,CPC0231,"hen eggs in shell, fresh",2744,Eggs and products
1069,"Meat of ducks, fresh or chilled",1,TM,QCL,SCL,,,CPC21122,"meat of ducks, fresh or chilled",2734,Poultry Meat and products
1073,"Meat of geese, fresh or chilled",1,TM,QCL,SCL,,,CPC21123,"meat of geese, fresh or chilled",2734,Poultry Meat and products
1080,"Meat of turkeys, fresh or chilled",1,TM,QCL,SCL,,,CPC21124,"meat of turkeys, fresh or chilled",2734,Poultry Meat and products
1091,"Eggs from other birds in shell, fresh, n.e.c.",1,TM,QCL,SCL,,,CPC0232,"eggs from other birds in shell, fresh, n.e.c.",2744,Eggs and products
1141,"Meat of rabbits and hares, fresh or chilled",1,TM,QCL,SCL,,,CPC21114,"meat of rabbits and hares, fresh or chilled",2735,"Meat, Other and products"
1163,"Game meat, fresh, chilled or frozen",1,TM,QCL,SCL,,,CPC21170.02,"game meat, fresh, chilled or frozen",2735,"Meat, Other and products"
1166,"Other meat n.e.c. (excluding mammals), fresh, chilled or frozen",1,TM,QCL,SCL,,,CPC21170.92,"other meat n.e.c., fresh, chilled or frozen",2735,"Meat, Other and products"
1182,Natural honey,1,TM,QCL,SCL,,,CPC02910,Natural honey,2745,Honey and products
1225,Tallow,1,TM,QCL,SCL,,,CPC21523,tallow,2737,"Fats, Animals, Raw and products"
1242,Margarine and shortening,1,TM,QCL,SCL,,,CPC21700.02,margarine and shortening,2586,"Oilcrops Oil, Other and products"
137,Yams,1,TM,QCL,SCL,,,CPC01540,yams,2535,Yams and products
156,Sugar cane,1,TM,QCL,SCL,,,CPC01802,sugar cane,2536,Sugar cane and products
195,"Cow peas, dry",1,TM,QCL,SCL,,,CPC01706,"cow peas, dry",2549,"Pulses, Other and products"
203,"Bambara beans, dry",1,TM,QCL,SCL,,,CPC01708,"bambara beans, dry",2549,"Pulses, Other and products"
224,Kola nuts,1,TM,QCL,SCL,,,CPC01379.02,kola nuts,2551,Nuts and products
226,Areca nuts,1,TM,QCL,SCL,,,CPC01379.01,areca nuts,2551,Nuts and products
256,Palm kernels,1,TM,QCL,SCL,,,CPC01491.02,palm kernels [only calories],2562,Palm kernels and products
265,Castor oil seeds,1,TM,QCL,SCL,,,CPC01447,castor oil seeds,2570,"Oilcrops, Other and products"
430,Okra,1,TM,QCL,SCL,,,CPC01239.01,okra,2605,"Vegetables, Other and products"
459,Chicory roots,1,TM,QCL,SCL,,,CPC01691,chicory roots,2605,"Vegetables, Other and products"
549,Gooseberries,1,TM,QCL,SCL,,,CPC01351.02,gooseberries,2625,"Fruits, Other and products"
887,Ghee from cow milk,1,TM,QCL,SCL,,,CPC22241.02,ghee from cow milk [only calories],2740,"Butter, Ghee and products"
891,Yoghurt,1,TM,QCL,SCL,,,CPC22230.01,yoghurt,2848,Milk - (Excluding excluding Butter butter) and products
947,"Meat of buffalo, fresh or chilled",1,TM,QCL,SCL,,,CPC21112,"meat of buffalo, fresh or chilled",2731,Bovine Meat and products
983,Butter and ghee of sheep milk,1,TM,QCL,SCL,,,CPC22249.01,butter and ghee of sheep milk [only calories],2740,"Butter, Ghee and products"
984,"Cheese from milk of sheep, fresh or processed",1,TM,QCL,SCL,,,CPC22253,"cheese from milk of sheep, fresh or processed",2848,Milk - (Excluding excluding Butter butter) and products
1021,"Cheese from milk of goats, fresh or processed",1,TM,QCL,SCL,,,CPC22254,"cheese from milk of goats, fresh or processed",2848,Milk - (Excluding excluding Butter butter) and products
1127,"Meat of camels, fresh or chilled",1,TM,QCL,SCL,,,CPC21117.01,"meat of camels, fresh or chilled",2735,"Meat, Other and products"
1129,Fat of camels,1,TM,QCL,SCL,,,CPC21519.02,fat of camels,2737,"Fats, Animals, Raw and products"
103,Mixed grain,1,TM,QCL,SCL,,,CPC01199.02,mixed grain,2520,"Cereals, Other and products"
263,Karite nuts (sheanuts),1,TM,QCL,SCL,,,CPC01499.01,karite nuts (sheanuts),2570,"Oilcrops, Other and products"
948,"Edible offal of buffalo, fresh, chilled or frozen",1,TM,QCL,SCL,,,CPC21152,"edible offal of buffalo, fresh, chilled or frozen",2736,"Offals, Edible and products"
1089,"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen",1,TM,QCL,SCL,,,CPC21170.01,"meat of pigeons and other birds n.e.c., fresh, chilled or frozen",2735,"Meat, Other and products"
1097,"Horse meat, fresh or chilled",1,TM,QCL,SCL,,,CPC21118.01,"horse meat, fresh or chilled",2735,"Meat, Other and products"
1098,"Edible offals of horses and other equines,  fresh, chilled or frozen",1,TM,QCL,SCL,,,CPC21159.01,"edible offals of horses and other equines,  fresh, chilled or frozen",2736,"Offals, Edible and products"
